Unnamed: 0,link,usr_name,tournaments,profit,totBI,totCashes,roi,roiBI,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
191,https://mttmarket.com/users/557aa4a30cf28887159d5511,LEXTER,1079.0,-147.93,6314.69,6166.76,-2.34,8.2,5.85,21.41,3742.0,3724.66,4.91,5352.93,59.33,29.14,937.0,416.93,5.61,1471.32,49.79,27.99
194,https://mttmarket.com/users/55c687a461ccb6061a9178f2,spektre,471.0,-355.61,2530.5,2174.89,-14.05,0.65,5.37,18.9,5038.0,2083.09,2.13,8777.31,47.72,81.84,1589.0,277.95,2.55,-271.49,14.15,-6.7
198,https://mttmarket.com/users/55e7014961ccb63534279ad4,gkoulou13,156.0,55.64,1057.04,1112.68,5.26,-7.26,6.78,22.44,12715.0,1670.65,6.36,17754.38,37.04,21.95,1279.0,518.2,13.46,-1234.36,-4.19,-7.17
201,https://mttmarket.com/users/54e1bc920cf2d7cefd0a5e78,RaulandTotti,621.0,-318.57,1252.23,933.66,-25.44,-30.88,2.02,17.39,5814.0,720.8,1.16,363.85,25.04,5.38,945.0,94.9,0.76,134.47,23.9,18.67
204,https://mttmarket.com/users/55cfcc9061ccb6133155fcad,mnevezet2015,459.0,-2131.08,5437.29,3306.21,-39.19,-13.15,11.85,17.65,1135.0,1961.47,8.32,2871.5,40.68,30.42,765.0,469.9,8.58,2990.24,70.8,45.55
211,https://mttmarket.com/users/55e3368061ccb6263045ecf1,jefflinsdell,139.0,-578.92,864.2,285.28,-66.99,-59.31,6.22,13.67,1645.0,2204.33,10.11,11526.08,-1268.22,69.32,693.0,328.35,13.76,15021.6,11.43,157.53
212,https://mttmarket.com/users/55c30f0961ccb601822713c4,mogican99,815.0,-4800.68,7978.48,3177.8,-60.17,11.55,9.79,21.47,15539.0,1441.46,1.45,7032.74,51.02,31.19,1670.0,242.23,2.38,1795.24,40.8,45.17
213,https://mttmarket.com/users/554333e00cf2bb0785a20215,callmarrr,971.0,-456.05,5423.18,4967.13,-8.41,36.2,5.59,22.04,4846.0,1417.85,4.31,8497.53,68.0,40.66,763.0,428.71,4.34,-58.1,26.45,-1.76
214,https://mttmarket.com/users/54514df80cf24a5c0d830bce,MikleD,3100.0,5048.41,61474.21,66522.62,8.21,8.41,19.83,23.71,12985.0,841.33,8.15,26341.25,54.15,24.9,3847.0,245.81,12.79,15698.56,39.94,31.89
216,https://mttmarket.com/users/558a9f0f0cf2888715a3d011,srdjaaa,570.0,-107.28,4746.75,4639.47,-2.26,1.89,8.33,19.47,1915.0,1336.92,8.4,6229.73,43.75,38.73,802.0,241.45,11.4,1381.28,34.12,15.11
217,https://mttmarket.com/users/54a6a4990cf23c2fa9beac02,Denfcb,1038.0,462.38,10598.51,11060.89,4.36,16.31,10.21,24.47,8851.0,1355.83,4.21,25654.08,81.63,68.79,530.0,506.28,8.89,4651.71,131.52,98.73
219,https://mttmarket.com/users/55d60b5161ccb600922337b5,julshot,549.0,1120.24,6456.2,7576.44,17.35,22.94,11.76,18.94,6877.0,913.14,8.81,19144.92,53.07,31.6,1810.0,217.69,7.57,6761.35,61.83,49.33
222,https://mttmarket.com/users/55a48e920cf2c4481c7b39fb,DuxeTUT,862.0,-210.46,4625.4,4414.94,-4.55,0.84,5.37,18.56,7288.0,2978.14,2.03,1555.18,28.78,10.49,1208.0,436.54,3.33,2482.94,81.81,61.71
230,https://mttmarket.com/users/54b820150cf2ef809ccc81e2,cotondark,376.0,96.98,2720.5,2817.48,3.56,24.04,7.24,13.83,7088.0,1946.73,2.5,5798.6,46.97,32.69,1660.0,399.89,4.4,2925.46,42.69,40.05
231,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,2727.0,11464.62,40190.88,51655.5,28.53,43.65,14.74,18.34,9850.0,1877.65,7.66,12787.39,30.02,16.95,2161.0,315.58,13.26,1689.94,13.35,5.9
238,https://mttmarket.com/users/53abd5490cf2c8120d44fbfe,itsNotFun,1037.0,277.68,12517.78,12795.46,2.22,23.14,12.07,19.38,4852.0,1264.46,7.75,13313.25,59.76,35.4,1738.0,308.24,8.68,867.67,16.8,5.75
239,https://mttmarket.com/users/5488f9b60cf298ccc7db3084,PinkZebra,4693.0,998.35,54283.87,55282.22,1.84,14.49,11.57,14.55,7119.0,1851.46,7.11,7193.3,28.31,14.22,3441.0,412.73,9.19,7087.05,25.59,22.41
240,https://mttmarket.com/users/5520491c0cf25438259e571c,TSMeister,1375.0,16654.75,18265.92,34920.67,91.18,86.33,13.28,20.87,7586.0,1654.43,21.43,31482.63,51.66,19.37,1283.0,493.54,9.96,6762.49,42.79,52.91
241,https://mttmarket.com/users/5302904e230000510ad703d4,r2r,6172.0,78992.03,376267.57,455259.6,20.99,22.74,60.96,20.2,13981.0,1540.47,26.53,108264.1,41.76,29.19,1909.0,245.95,61.13,30271.98,21.76,25.94
242,https://mttmarket.com/users/555deed30cf2820a8e3d3d6b,utaquake,939.0,-691.68,6195.83,5504.15,-11.16,5.57,6.6,19.7,13118.0,1519.79,2.98,4445.39,36.88,11.37,3189.0,217.09,2.0,1717.52,46.84,26.91
246,https://mttmarket.com/users/5386467f0cf2c8120d3fcdf1,check90,1728.0,14788.65,60624.04,75412.69,24.39,24.21,35.08,20.54,13154.0,1892.98,16.16,69677.67,47.7,32.79,2562.0,472.4,26.72,49798.82,64.89,72.75
248,https://mttmarket.com/users/537d2c0b0cf2c8120d3e6047,AwadeuS,1383.0,2196.66,13195.78,15392.44,16.65,45.31,9.54,21.11,5323.0,2051.92,4.72,-680.2,15.32,-2.71,1364.0,340.3,5.52,2285.75,67.63,30.36
250,https://mttmarket.com/users/553d123c0cf26d1eaea65028,IGOR1010,1221.0,2637.08,5806.55,8443.63,45.42,39.51,4.76,21.87,3662.0,1673.21,3.21,3986.11,28.16,33.9,1524.0,456.5,4.09,1831.26,25.74,29.41
252,https://mttmarket.com/users/55b7638661ccb60110fb4be8,tomoto,834.0,-377.59,7302.3,6924.71,-5.17,3.6,8.76,18.23,5357.0,554.74,7.19,-322.25,-167.93,-0.84,2408.0,288.7,8.43,-2119.6,28.36,-10.44
255,https://mttmarket.com/users/55953fb60cf2d95aabaf3531,be_successful,613.0,-84.25,4462.75,4378.5,-1.89,-2.68,7.28,22.84,26650.0,656.15,5.53,14793.1,17.73,10.04,1044.0,561.14,10.33,46.87,21.5,0.43
257,https://mttmarket.com/users/54a2c3b80cf23c2fa9bd70b9,deezder,2328.0,-3114.18,58289.22,55175.04,-5.34,0.42,25.04,16.24,8727.0,1879.42,21.35,18321.46,26.49,9.83,1953.0,353.67,21.86,3635.87,19.35,8.51
260,https://mttmarket.com/users/555b7b380cf2820a8e3ca7e5,AndrewAndrew,931.0,2574.5,7721.36,10295.86,33.34,17.03,8.29,19.23,7897.0,1207.08,5.61,7984.22,25.28,18.04,3094.0,304.16,8.25,1676.4,26.42,6.57
263,https://mttmarket.com/users/53f5b7580cf22953035ff48c,dAmAzAN,1349.0,2102.45,7085.42,9187.87,29.67,47.98,5.25,20.24,19953.0,524.71,1.74,10168.98,44.65,29.35,6763.0,152.48,1.97,5481.68,64.22,41.09
277,https://mttmarket.com/users/5541109c0cf2bb0785a1c6c3,prozhektorp,798.0,-3634.88,10118.27,6483.39,-35.92,-34.75,12.68,24.06,4322.0,4289.2,8.7,7183.15,44.19,19.1,713.0,292.31,7.17,3378.22,113.92,66.11
279,https://mttmarket.com/users/537e07290cf2c8120d3e8216,kanelbdoncku,1307.0,4687.49,9482.83,14170.32,49.43,93.36,7.26,23.49,10053.0,1518.59,6.45,28454.22,57.97,43.91,1006.0,262.47,6.85,3105.83,60.18,45.09
281,https://mttmarket.com/users/55a247f30cf2c4481c7a7c1b,sulfajjj,178.0,7088.21,2392.6,9480.81,296.26,382.13,13.44,23.03,1205.0,2914.31,3.59,7730.4,101.4,178.9,502.0,332.91,3.71,1046.63,105.84,56.21
282,https://mttmarket.com/users/54587c6e0cf24a5c0d8565a8,sfx,817.0,-2042.73,6349.7,4306.97,-32.17,-22.84,7.77,19.46,11723.0,1508.35,6.97,16270.43,44.39,19.92,904.0,359.83,6.6,-1275.01,-5.13,-21.36
289,https://mttmarket.com/users/554a21bc0cf2bb0785a32293,kolowsk1,917.0,-3187.08,12603.4,9416.32,-25.29,-21.43,13.74,19.19,4179.0,3305.73,44.39,90357.6,55.03,48.71,657.0,430.13,14.82,2219.39,53.15,22.79
294,https://mttmarket.com/users/55ae596c61ccb6000e13603e,maximusaces2,754.0,-1490.1,5099.04,3608.94,-29.22,-25.39,6.76,17.37,2548.0,1236.1,2.88,-708.57,-0.93,-9.66,1304.0,252.49,3.85,-3.09,17.16,-0.06
303,https://mttmarket.com/users/54c80ece0cf266f63902a6a8,antif,890.0,8191.76,18285.6,26477.36,44.8,61.56,20.55,20.45,14637.0,1877.09,11.95,75374.17,58.4,43.1,2687.0,304.66,15.18,26057.39,83.31,63.89
313,https://mttmarket.com/users/52b32f135a00006202eb24de,dobBRO,3.0,1460.5,39.5,1500.0,3697.47,2172.73,13.17,33.33,949.0,740.25,18.87,6165.22,42.86,34.44,692.0,386.86,20.99,7142.18,61.75,49.18
332,https://mttmarket.com/users/5565922f0cf25c1c3c0366c2,Lykov_1988,360.0,-1442.87,4179.9,2737.03,-34.52,-31.96,11.61,24.17,2337.0,343.73,5.84,12360.04,150.64,90.52,1037.0,259.27,7.13,8526.23,194.95,115.31
