Unnamed: 0,Unnamed: 0.1,link,usr_name,start_date,BI,tournaments,coef,stakeback,player_part,sell_left,status,item_info,shit,BI_actual,Cashes
613,2875,https://mttmarket.com/users/541ebfc20cf22953036c82e2,Senheiser,16.08.2015,213.69,21,1.17,,50.0,0.0,75.83,https://mttmarket.com/packets/item/55d0765b61ccb614bb3049db,,59.41,135.24
614,2876,https://mttmarket.com/users/543033f50cf2c31f2c2793a4,Noorgle,16.08.2015,939.9,32,1.18,,50.0,0.0,99.1,https://mttmarket.com/packets/item/55d0132c61ccb6137bbb1eb2,,745.95,845.05
615,2878,https://mttmarket.com/users/5488f9b60cf298ccc7db3084,PinkZebra,16.08.2015,720.1,39,1.13,,86.5,0.0,-282.57,https://mttmarket.com/packets/item/55d01e7461ccb613a092c2f0,,519.12,236.55
616,2980,https://mttmarket.com/users/5571b9ee0cf25acfc5bf69dc,bozhurin,14.08.2015,111.17,13,1.15,,25.0,0.0,-79.58,https://mttmarket.com/packets/item/55c9838461ccb60e8c3de5e5,,79.58,0.0
617,2981,https://mttmarket.com/users/55ad35e861ccb6000f5e58de,bruini,14.08.2015,149.25,25,1.16,,30.0,0.0,-74.1,https://mttmarket.com/packets/item/55cb532961ccb6056c720c0c,,137.45,63.35
618,2982,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,14.08.2015,383.65,17,1.15,,65.0,0.0,-14.45,https://mttmarket.com/packets/item/55cca95361ccb6098bd9357f,,374.61,360.16
619,2983,https://mttmarket.com/users/5457ce390cf24a5c0d8533a3,matters71,14.08.2015,186.9,11,1.18,,34.0,0.0,1623.19,https://mttmarket.com/packets/item/55ccf29561ccb60aeaf715a7,,161.4,1784.59
620,2984,https://mttmarket.com/users/543033f50cf2c31f2c2793a4,Noorgle,14.08.2015,721.9,25,1.18,,65.0,0.0,-108.08,https://mttmarket.com/packets/item/55cd70de61ccb60c534dcf76,,496.0,387.92
621,2985,https://mttmarket.com/users/54eee3a90cf22b7780472da2,AHTOCb,14.08.2015,1283.27,57,1.17,,42.0,0.0,1645.62,https://mttmarket.com/packets/item/55cb2e2961ccb604a0b8ee53,,1102.86,2748.48
622,2986,https://mttmarket.com/users/55379e770cf26d1eaea5528c,dieselamq,14.08.2015,340.5,36,1.15,,50.0,0.0,-172.93,https://mttmarket.com/packets/item/55cd552461ccb60c3b6e4171,,334.5,161.57
