Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm
52,https://mttmarket.com/users/555deed30cf2820a8e3d3d6b,utaquake,-691.68,6195.83,5504.15,-11.16,5.57,939,6.6,19.7
53,https://mttmarket.com/users/555b4bfa0cf2820a8e3c9792,KeryaSvyatoi,648.56,2036.0,2684.56,31.85,41.52,410,4.97,24.39
54,https://mttmarket.com/users/5563057d0cf25c1c3c02ed7b,iamhater,165.56,4889.4,5054.96,3.39,22.28,965,5.07,16.37
55,https://mttmarket.com/users/543033f50cf2c31f2c2793a4,Noorgle,3658.32,26310.9,29969.22,13.9,13.09,1093,24.07,19.49
56,https://mttmarket.com/users/54a7e2090cf23c2fa9bf2c94,Play_yyer99,5265.69,22574.59,27840.28,23.33,27.68,1499,15.06,17.01
57,https://mttmarket.com/users/55b1121561ccb60010e6dea0,beetle,-1553.82,5945.36,4391.54,-26.14,-23.35,1013,5.87,20.04
59,https://mttmarket.com/users/53955e070cf2c8120d41c860,Депутат,8107.58,42607.63,50715.21,19.03,14.75,3142,13.56,16.65
60,https://mttmarket.com/users/5531265c0cf26d1eaea394db,modu1us,-2925.33,9520.75,6595.42,-30.73,-27.33,1320,7.21,15.68
61,https://mttmarket.com/users/554bd3a50cf2bb0785a3887c,ZIG,827.89,2841.74,3669.63,29.13,38.22,206,13.79,21.84
62,https://mttmarket.com/users/5532a25d0cf26d1eaea3d260,nik1020,1718.97,6348.54,8067.51,27.08,39.94,1152,5.51,23.35
63,https://mttmarket.com/users/5443812f0cf24a5c0d7eb35f,Radin,9521.98,18395.23,27917.21,51.76,51.78,3169,5.8,20.29
65,https://mttmarket.com/users/55bcb12261ccb6022d3d2f10,serjvikt,4746.85,6378.5,11125.35,74.42,57.76,618,10.32,22.49
66,https://mttmarket.com/users/557aa4a30cf28887159d5511,LEXTER,-153.99,6180.09,6026.1,-2.49,8.23,1066,5.8,21.11
68,https://mttmarket.com/users/55965ea00cf2d95aabafda28,ignatik,-1722.12,4145.67,2423.55,-41.54,-32.16,847,4.89,17.36
69,https://mttmarket.com/users/55a1f9200cf2c4481c7a6e6a,Eddy James Kenway,-550.44,3226.4,2675.96,-17.06,-20.64,939,3.44,20.77
70,https://mttmarket.com/users/553d9ebe0cf26d1eaea65ebc,Revolver,753.35,3527.4,4280.75,21.36,36.25,377,9.36,16.45
72,https://mttmarket.com/users/54d749a40cf2d7cefbe6ee80,DMethos,1054.73,5713.04,6767.77,18.46,24.09,1600,3.57,19.25
73,https://mttmarket.com/users/5571b9ee0cf25acfc5bf69dc,bozhurin,4385.02,2654.98,7040.0,165.16,173.66,309,8.59,20.06
74,https://mttmarket.com/users/5566baa40cf25c1c3c03b109,JuCh,51.66,860.44,912.1,6.0,-1.53,432,1.99,25.0
75,https://mttmarket.com/users/55d60b5161ccb600922337b5,julshot,543.39,5265.76,5809.15,10.32,15.18,432,12.19,18.98
80,https://mttmarket.com/users/55e3197c61ccb625c0411cef,matejvslo,-8.25,69.12,60.87,-11.94,20.95,44,1.57,25.0
84,https://mttmarket.com/users/5520491c0cf25438259e571c,TSMeister,15330.3,15960.96,31291.26,96.05,91.65,1240,12.87,21.21
86,https://mttmarket.com/users/558a9f0f0cf2888715a3d011,srdjaaa,227.78,4118.75,4346.53,5.53,8.93,486,8.47,19.34
87,https://mttmarket.com/users/5302904e230000510ad703d4,r2r,77079.77,364675.42,441755.19,21.14,22.98,6015,60.63,20.1
89,https://mttmarket.com/users/556c52de0cf2a06f7748a51e,ndima,-884.13,7383.93,6499.8,-11.97,-4.79,972,7.6,34.05
91,https://mttmarket.com/users/5569d34b0cf25c1c3c0449c7,pycckuii,-5151.88,25847.22,20695.34,-19.93,-26.01,1732,14.92,20.5
92,https://mttmarket.com/users/5554cbf80cf24036f37b657c,JomoIungma,184.17,10919.65,11103.82,1.69,8.94,1004,10.88,21.12
95,https://mttmarket.com/users/55ba5c9961ccb6004d2bcb6a,ramiawad,6602.52,31800.87,38403.39,20.76,10.29,980,32.45,15.41
