Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
59,https://mttmarket.com/users/53955e070cf2c8120d41c860,Депутат,8107.58,42607.63,50715.21,19.03,14.75,3142,13.56,16.65,5156.0,1978.36,10.02,6780.06,16.74,13.12,2738.0,309.25,11.73,6935.64,22.61,21.59
60,https://mttmarket.com/users/5531265c0cf26d1eaea394db,modu1us,-2925.33,9520.75,6595.42,-30.73,-27.33,1320,7.21,15.68,5950.0,1239.8,6.85,3129.75,33.71,7.68,1605.0,273.57,6.45,-1938.63,0.52,-18.72
61,https://mttmarket.com/users/554bd3a50cf2bb0785a3887c,ZIG,827.89,2841.74,3669.63,29.13,38.22,206,13.79,21.84,1252.0,597.8,7.9,5736.9,72.8,57.99,,,,,,
62,https://mttmarket.com/users/5532a25d0cf26d1eaea3d260,nik1020,1718.97,6348.54,8067.51,27.08,39.94,1152,5.51,23.35,,,,,,,,,,,,
63,https://mttmarket.com/users/5443812f0cf24a5c0d7eb35f,Radin,9521.98,18395.23,27917.21,51.76,51.78,3169,5.8,20.29,15603.0,980.91,2.54,16066.05,43.6,40.46,2841.0,315.19,4.72,7524.15,70.78,56.08
65,https://mttmarket.com/users/55bcb12261ccb6022d3d2f10,serjvikt,4746.85,6378.5,11125.35,74.42,57.76,618,10.32,22.49,5167.0,3668.42,6.38,3537.28,18.62,10.72,500.0,483.89,11.78,2287.14,35.54,38.82
66,https://mttmarket.com/users/557aa4a30cf28887159d5511,LEXTER,-153.99,6180.09,6026.1,-2.49,8.23,1066,5.8,21.11,3727.0,3714.44,4.89,5398.93,59.74,29.6,935.0,416.75,5.61,1484.62,50.16,28.31
68,https://mttmarket.com/users/55965ea00cf2d95aabafda28,ignatik,-1722.12,4145.67,2423.55,-41.54,-32.16,847,4.89,17.36,3949.0,3927.7,1.52,-1101.8,3.38,-18.37,622.0,367.91,3.18,-531.32,6.15,-26.84
69,https://mttmarket.com/users/55a1f9200cf2c4481c7a6e6a,Eddy James Kenway,-550.44,3226.4,2675.96,-17.06,-20.64,939,3.44,20.77,3340.0,2634.01,0.99,-504.26,5.01,-15.21,1567.0,291.73,0.96,180.4,24.37,11.96
70,https://mttmarket.com/users/553d9ebe0cf26d1eaea65ebc,Revolver,753.35,3527.4,4280.75,21.36,36.25,377,9.36,16.45,20470.0,785.5,7.69,30698.91,25.89,19.49,1594.0,319.69,9.14,-3562.19,-2.09,-24.45
72,https://mttmarket.com/users/54d749a40cf2d7cefbe6ee80,DMethos,1054.73,5713.04,6767.77,18.46,24.09,1600,3.57,19.25,5177.0,2624.62,1.33,1375.53,31.23,20.03,1752.0,233.69,2.72,1468.47,45.14,30.81
73,https://mttmarket.com/users/5571b9ee0cf25acfc5bf69dc,bozhurin,4385.02,2654.98,7040.0,165.16,173.66,309,8.59,20.06,7031.0,912.51,3.41,6893.64,37.77,28.73,279.0,275.01,7.54,-638.92,-8.27,-30.35
74,https://mttmarket.com/users/5566baa40cf25c1c3c03b109,JuCh,51.66,860.44,912.1,6.0,-1.53,432,1.99,25.0,8987.0,3787.99,0.36,3350.93,40.47,104.52,1823.0,201.86,0.74,681.99,55.0,50.51
75,https://mttmarket.com/users/55d60b5161ccb600922337b5,julshot,543.39,5265.76,5809.15,10.32,15.18,432,12.19,18.98,6799.0,915.9,8.84,19004.65,53.02,31.62,1776.0,214.98,7.55,6784.31,63.28,50.6
80,https://mttmarket.com/users/55e3197c61ccb625c0411cef,matejvslo,-8.25,69.12,60.87,-11.94,20.95,44,1.57,25.0,3099.0,3503.25,0.58,454.73,42.75,25.37,239.0,174.07,0.58,193.33,100.52,138.98
84,https://mttmarket.com/users/5520491c0cf25438259e571c,TSMeister,15330.3,15960.96,31291.26,96.05,91.65,1240,12.87,21.21,7430.0,1634.54,21.64,29186.36,51.0,18.15,1242.0,500.14,9.72,4017.01,31.04,33.28
86,https://mttmarket.com/users/558a9f0f0cf2888715a3d011,srdjaaa,227.78,4118.75,4346.53,5.53,8.93,486,8.47,19.34,1823.0,1254.59,8.58,6538.01,48.62,41.78,761.0,229.9,11.75,1522.3,38.62,17.02
87,https://mttmarket.com/users/5302904e230000510ad703d4,r2r,77079.77,364675.42,441755.19,21.14,22.98,6015,60.63,20.1,13981.0,1540.47,26.54,108701.48,41.76,29.3,1956.0,244.1,60.59,30010.83,20.02,25.32
89,https://mttmarket.com/users/556c52de0cf2a06f7748a51e,ndima,-884.13,7383.93,6499.8,-11.97,-4.79,972,7.6,34.05,13690.0,3479.41,8.27,13183.63,26.6,11.64,828.0,429.9,8.98,1057.7,37.55,14.23
91,https://mttmarket.com/users/5569d34b0cf25c1c3c0449c7,pycckuii,-5151.88,25847.22,20695.34,-19.93,-26.01,1732,14.92,20.5,34721.0,900.81,7.82,9519.87,8.89,3.51,1724.0,587.89,16.51,3573.35,8.77,12.56
92,https://mttmarket.com/users/5554cbf80cf24036f37b657c,JomoIungma,184.17,10919.65,11103.82,1.69,8.94,1004,10.88,21.12,4151.0,980.72,8.77,8846.46,45.5,24.3,1941.0,348.25,11.35,2962.11,32.98,13.45
95,https://mttmarket.com/users/55ba5c9961ccb6004d2bcb6a,ramiawad,6602.52,31800.87,38403.39,20.76,10.29,980,32.45,15.41,9293.0,1251.69,18.23,63082.79,42.9,37.23,1835.0,293.71,31.39,8668.67,26.15,15.05
99,https://mttmarket.com/users/5565d9b30cf25c1c3c037c32,drobish23,202.74,4354.0,4556.74,4.66,9.59,594,7.33,21.04,3945.0,1756.21,2.82,1449.95,39.95,13.04,946.0,259.98,3.72,837.38,28.86,23.78
103,https://mttmarket.com/users/55b7638661ccb60110fb4be8,tomoto,-377.59,7302.3,6924.71,-5.17,3.6,834,8.76,18.23,5049.0,577.54,7.61,-382.58,-179.52,-1.0,2439.0,288.05,8.76,-2196.25,28.65,-10.28
106,https://mttmarket.com/users/544288990cf24a5c0d7e6b4d,punter54,6233.52,19223.89,25457.41,32.43,35.95,2613,7.36,19.02,13864.0,806.21,4.05,22345.62,45.45,39.8,2497.0,322.56,5.42,4123.41,35.28,30.46
112,https://mttmarket.com/users/54b820150cf2ef809ccc81e2,cotondark,-369.14,2450.12,2080.98,-15.07,12.33,335,7.31,14.93,,,,,,,,,,,,
122,https://mttmarket.com/users/534d55fe130000cdf036e772,mutnyi_john,5581.63,13359.1,18940.73,41.78,50.18,1429,9.35,18.75,2893.0,1142.41,5.34,10629.16,84.38,68.78,1263.0,370.52,7.37,5940.58,65.08,63.85
123,https://mttmarket.com/users/556d90530cf2a06f774995f6,parfen1111,-298.05,3804.0,3505.95,-7.84,99.77,534,7.12,19.1,4629.0,2874.09,3.92,7235.31,50.66,39.88,586.0,403.73,5.6,-836.61,11.57,-25.5
124,https://mttmarket.com/users/54ba71520cf2ef809cce1700,leo minorrr,1372.31,7339.12,8711.43,18.7,27.02,1390,5.28,18.35,5699.0,4777.76,4.4,9599.58,77.72,38.29,796.0,510.72,3.9,390.76,43.26,12.59
126,https://mttmarket.com/users/533150655200003394a9c5e0,Boogleman,145149.82,182995.1,328144.92,79.32,70.18,1265,144.66,20.32,10879.0,1179.98,57.96,227246.59,54.53,36.04,3716.0,261.17,95.6,59568.17,34.73,16.77
137,https://mttmarket.com/users/55891ffc0cf2888715a32b8e,Bekishev,-43.34,5873.2,5829.86,-0.74,13.57,787,7.46,16.39,1975.0,1345.38,4.23,2058.38,39.49,24.64,1235.0,353.53,4.3,768.45,39.45,14.46
139,https://mttmarket.com/users/541ebfc20cf22953036c82e2,Senheiser,5264.64,17380.5,22645.14,30.29,30.76,2465,7.05,20.61,14160.0,1698.51,3.93,6405.58,24.7,11.51,2433.0,279.96,6.15,5618.9,42.62,37.58
140,https://mttmarket.com/users/5315e9ee2d00005a04ba0b3b,Serik,-1347.84,100189.85,98842.01,-1.35,-1.48,4176,23.99,20.04,7438.0,826.07,15.1,5351.53,14.47,4.76,1673.0,296.46,22.64,-4249.25,-2.23,-11.22
141,https://mttmarket.com/users/55c8cabb61ccb60c8eaf4748,douglas,1489.41,3428.6,4918.01,43.44,46.88,562,6.1,19.93,1598.0,1987.91,5.31,2300.75,24.41,27.09,1013.0,345.7,5.38,2460.14,47.25,45.14
142,https://mttmarket.com/users/536e0f9e0cf2c15ecd6feb06,robi,6447.61,41972.75,48420.36,15.36,24.15,2226,18.86,23.0,15448.0,1393.8,11.78,42370.37,40.12,23.29,1818.0,492.87,16.06,8100.06,48.05,27.75
144,https://mttmarket.com/users/537b32d00cf2c8120d3e0cbf,drunkym0nkey,13911.96,54189.38,68101.34,25.67,30.28,4513,12.01,20.1,6306.0,1605.68,7.43,17578.6,56.91,37.51,2134.0,434.16,10.77,7333.51,30.8,31.92
147,https://mttmarket.com/users/54e1bc920cf2d7cefd0a5e78,RaulandTotti,-312.07,1229.23,917.16,-25.39,-30.65,613,2.01,17.29,5812.0,720.96,1.16,369.85,25.09,5.47,946.0,94.74,0.76,137.49,24.02,19.13
151,https://mttmarket.com/users/5457f2620cf24a5c0d853d24,Glewellin17,389.45,19809.09,20198.54,1.97,18.63,2481,7.98,15.28,7114.0,723.25,4.4,-711.88,11.27,-2.27,2307.0,341.22,7.35,221.71,15.8,1.31
152,https://mttmarket.com/users/55645da20cf25c1c3c0328bd,helios,371.83,7816.32,8188.15,4.76,23.59,851,9.18,26.67,1304.0,2591.39,4.27,2705.61,20.84,48.6,424.0,198.78,7.89,1035.7,44.42,30.97
158,https://mttmarket.com/users/5541109c0cf2bb0785a1c6c3,prozhektorp,-3704.83,9312.47,5607.64,-39.78,-36.32,730,12.76,24.25,4243.0,4301.83,8.66,7145.1,45.27,19.45,692.0,285.98,7.01,2990.0,114.48,61.63
160,https://mttmarket.com/users/53764f6b0cf2c8120d3d4e7f,amanskiy,1567.92,6258.32,7826.24,25.05,24.52,524,11.94,20.61,4929.0,2115.25,13.5,2412.7,36.58,3.63,1316.0,500.65,15.03,3266.08,37.14,16.51
162,https://mttmarket.com/users/5535460f0cf26d1eaea4774e,SkyWorker,-1925.73,17187.82,15262.09,-11.2,-5.37,718,23.94,22.14,9640.0,1134.94,16.82,16296.12,29.04,10.05,1291.0,330.8,15.32,3550.39,27.23,17.95
163,https://mttmarket.com/users/53b101050cf2c8120d45c58c,rusxxxx,5887.42,39678.12,45565.54,14.84,14.88,2920,13.59,25.92,52720.0,2221.7,10.17,114871.96,27.01,21.43,3553.0,386.11,14.1,18126.17,55.63,36.18
166,https://mttmarket.com/users/53c6427b0cf25b8ee9711c18,stav_nuts,7265.26,45442.76,52708.02,15.99,20.13,3028,15.01,19.02,9748.0,958.95,6.83,10154.64,31.7,15.25,3195.0,280.43,11.9,1519.41,11.7,4.0
167,https://mttmarket.com/users/54c80ece0cf266f63902a6a8,antif,8191.76,18285.6,26477.36,44.8,61.56,890,20.55,20.45,14545.0,1883.89,11.92,70716.99,57.59,40.79,2653.0,303.88,15.1,22514.66,80.62,56.21
168,https://mttmarket.com/users/55cd320361ccb60bf5ef534f,sergey260594,2500.92,3126.0,5626.92,80.0,107.09,573,5.46,22.69,5808.0,2227.75,2.97,2750.71,25.83,15.97,1587.0,337.62,3.72,1257.73,23.53,21.32
169,https://mttmarket.com/users/55c97e2661ccb60e9b80cf37,shurik389,2959.12,223.6,3182.72,1323.4,3709.26,15,14.91,26.67,9408.0,3412.79,3.32,5676.78,14.47,18.16,1820.0,321.33,3.99,-2795.4,-4.69,-38.51
170,https://mttmarket.com/users/5575d3e10cf28887159c3817,Scombat,-346.02,4667.3,4321.28,-7.41,14.58,960,4.86,21.46,7127.0,3991.61,10.01,27014.29,29.53,37.86,629.0,528.06,6.25,1857.69,61.6,47.25
172,https://mttmarket.com/users/55da8f8161ccb60b3ded5bab,filki,-228.84,880.09,651.25,-26.0,-32.22,150,5.87,19.33,4693.0,968.0,2.58,1908.52,48.11,15.78,1441.0,334.2,3.27,829.15,37.37,17.61
175,https://mttmarket.com/users/536e2e620cf2586a08501922,FILTH,-84.9,11828.91,11744.01,-0.72,11.03,1200,9.86,21.92,22250.0,3196.88,7.6,35098.14,53.07,20.75,1126.0,439.42,8.09,152.11,12.35,1.67
177,https://mttmarket.com/users/55b78f3861ccb600db439570,bean paul,-251.12,3163.4,2912.28,-7.94,1.15,589,5.37,22.24,6675.0,2532.8,4.58,6197.66,43.4,20.27,1992.0,194.29,2.67,-516.82,21.1,-9.72
183,https://mttmarket.com/users/54750a910cf24a5c0d8cc19e,ChckMate,12893.11,171166.83,184059.94,7.53,20.21,2647,64.66,17.64,5238.0,802.86,31.78,40715.11,41.78,24.46,3513.0,249.34,36.76,46542.26,41.45,36.04
184,https://mttmarket.com/users/555a30660cf2820a8e3c6366,antey2710,175.22,320.35,495.57,54.7,113.21,90,3.56,24.44,3840.0,403.1,0.59,617.71,16.15,27.44,447.0,182.47,1.28,482.06,63.57,84.26
185,https://mttmarket.com/users/5488f9b60cf298ccc7db3084,PinkZebra,1295.85,53517.87,54813.72,2.42,14.65,4671,11.46,14.47,7072.0,1844.59,7.05,7934.05,29.02,15.92,3535.0,413.04,9.06,8321.4,30.97,25.99
186,https://mttmarket.com/users/53f5b7580cf22953035ff48c,dAmAzAN,2200.79,6860.37,9061.16,32.08,50.99,1309,5.24,20.32,19618.0,524.33,1.69,9435.02,43.94,28.4,6868.0,145.47,1.83,5479.79,64.3,43.48
